INLINE PlayerClassGrowthsTable,HP Growth,STR Growth,SKL Growth,SPD Growth,DEF Growth,RES Growth,LUK Growth,MAG Growth,HP Neg,STR Neg,SKL Neg,SPD Neg,DEF Neg,RES Neg,LUK Neg,MAG Neg
None,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
Ephraim Lord,90,45,40,45,15,15,40,10,0,0,0,0,0,0,0,0
Eirika Lord,90,45,40,45,15,20,40,25,0,0,0,0,0,0,0,0
Ephraim Master Lord,90,45,40,45,15,15,40,10,0,0,0,0,0,0,0,0
Eirika Master Lord,90,45,40,45,15,20,40,20,0,0,0,0,0,0,0,0
Cavalier,75,35,40,28,15,15,30,0,0,0,0,0,0,0,0,0
Cavalier (F),75,35,40,28,15,15,30,0,0,0,0,0,0,0,0,0
Paladin,70,25,30,18,12,20,25,10,0,0,0,0,0,0,0,0
Paladin (F),70,25,35,25,12,25,25,10,0,0,0,0,0,0,0,0
Armour Knight,80,40,30,15,28,20,25,0,0,0,0,0,0,0,0,0
Armour Knight (F),80,40,30,15,28,20,25,0,0,0,0,0,0,0,0,0
General,75,30,20,10,23,25,20,0,0,0,0,0,0,0,0,0
General (F),75,30,25,10,23,25,20,0,0,0,0,0,0,0,0,0
Thief,50,5,45,40,5,20,40,5,0,0,0,0,0,0,0,0
Manakete,95,40,30,20,0,10,25,0,0,0,0,0,0,0,0,0
Mercenary,80,40,40,32,18,20,30,0,0,0,0,0,0,0,0,0
Mercenary (F),80,40,40,32,18,30,30,0,0,0,0,0,0,0,0,0
Hero,75,30,30,20,20,20,25,0,0,0,0,0,0,0,0,0
Hero (F),75,30,30,20,20,20,25,0,0,0,0,0,0,0,0,0
Myrmidon,70,35,40,40,15,20,30,15,0,0,0,0,0,0,0,0
Myrmidon (F),70,35,40,40,15,20,30,15,0,0,0,0,0,0,0,0
Swordmaster,65,25,30,30,15,22,25,10,0,0,0,0,0,0,0,0
Swordmaster (F),65,25,30,30,15,22,25,10,0,0,0,0,0,0,0,0
Assassin,50,5,45,40,5,20,40,0,0,0,0,0,0,0,0,0
Assassin (F),50,5,45,40,5,20,40,0,0,0,0,0,0,0,0,0
Archer,70,35,40,32,15,15,35,0,0,0,0,0,0,0,0,0
Archer (F),70,35,40,32,15,20,35,0,0,0,0,0,0,0,0,0
Sniper,65,30,30,20,15,20,30,10,0,0,0,0,0,0,0,0
Sniper (F),65,30,30,20,15,25,30,10,0,0,0,0,0,0,0,0
Ranger,60,25,30,35,15,15,25,0,0,0,0,0,0,0,0,0
Ranger (F),60,25,30,35,15,20,25,0,0,0,0,0,0,0,0,0
Wyvern Rider,80,45,35,30,25,15,25,0,0,0,0,0,0,0,0,0
Wyvern Rider (F),80,45,35,30,25,17,25,0,0,0,0,0,0,0,0,0
Wyvern Lord,75,40,30,20,20,17,20,0,0,0,0,0,0,0,0,0
Wyvern Lord (F),75,40,30,20,20,17,20,0,0,0,0,0,0,0,0,0
Wyvern Knight,65,35,30,30,15,17,25,5,0,0,0,0,0,0,0,0
Wyvern Knight (F),65,35,30,30,15,20,25,5,0,0,0,0,0,0,0,0
Mage,55,55,40,35,5,30,20,55,0,0,0,0,0,0,0,0
Mage (F),55,55,40,35,5,40,20,55,0,0,0,0,0,0,0,0
Sage,45,45,30,25,10,40,15,45,0,0,0,0,0,0,0,0
Sage (F),45,45,30,25,10,40,15,45,0,0,0,0,0,0,0,0
Mage Knight,45,40,30,40,10,40,30,40,0,0,0,0,0,0,0,0
