INLINE PlayerClassGrowthsTable,HP Growth,STR Growth,SKL Growth,SPD Growth,DEF Growth,RES Growth,LUK Growth,MAG Growth,HP Neg,STR Neg,SKL Neg,SPD Neg,DEF Neg,RES Neg,LUK Neg,MAG Neg
None,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
Ephraim Lord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eirika Lord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ephraim Master Lord,90,45,40,45,15,15,40,10,0,0,0,0,0,0,0,0
Eirika Master Lord,90,45,40,45,15,20,40,20,0,0,0,0,0,0,0,0
Cavalier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cavalier (F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paladin,70,25,30,18,12,20,25,10,0,0,0,0,0,0,0,0
Paladin (F),70,25,35,25,12,25,25,10,0,0,0,0,0,0,0,0
Armour Knight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armour Knight (F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General,75,30,20,10,23,25,20,0,0,0,0,0,0,0,0,0
General (F),75,30,25,10,23,25,20,0,0,0,0,0,0,0,0,0
Thief,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manakete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercenary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercenary (F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hero,75,30,30,20,20,20,25,0,0,0,0,0,0,0,0,0
Hero (F),75,30,30,20,20,20,25,0,0,0,0,0,0,0,0,0
Myrmidon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrmidon (F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swordmaster,65,25,30,30,15,22,25,10,0,0,0,0,0,0,0,0
Swordmaster (F),65,25,30,30,15,22,25,10,0,0,0,0,0,0,0,0
Assassin,50,5,45,40,5,20,40,0,0,0,0,0,0,0,0,0
Assassin (F),50,5,45,40,5,20,40,0,0,0,0,0,0,0,0,0
Archer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archer (F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sniper,65,30,30,20,15,20,30,10,0,0,0,0,0,0,0,0
Sniper (F),65,30,30,20,15,25,30,10,0,0,0,0,0,0,0,0
Ranger,60,25,30,35,15,15,25,0,0,0,0,0,0,0,0,0
Ranger (F),60,25,30,35,15,20,25,0,0,0,0,0,0,0,0,0
Wyvern Rider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyvern Rider (F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyvern Lord,75,40,30,20,20,17,20,0,0,0,0,0,0,0,0,0
Wyvern Lord (F),75,40,30,20,20,17,20,0,0,0,0,0,0,0,0,0
Wyvern Knight,65,35,30,30,15,17,25,5,0,0,0,0,0,0,0,0
Wyvern Knight (F),65,35,30,30,15,20,25,5,0,0,0,0,0,0,0,0
Mage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mage (F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sage,45,45,30,25,10,40,15,45,0,0,0,0,0,0,0,0
Sage (F),45,45,30,25,10,40,15,45,0,0,0,0,0,0,0,0
Mage Knight,45,40,30,40,10,40,30,40,0,0,0,0,0,0,0,0
Mage Knight (F),45,40,30,40,10,40,40,40,0,0,0,0,0,0,0,0
Bishop,45,35,25,22,8,40,40,35,0,0,0,0,0,0,0,0
Bishop (F),45,35,25,22,8,50,40,35,0,0,0,0,0,0,0,0
Shaman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaman (F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Druid,45,55,30,25,10,35,20,55,0,0,0,0,0,0,0,0
Druid (F),45,55,30,25,10,35,20,55,0,0,0,0,0,0,0,0
Summoner,45,50,30,25,8,35,20,50,0,0,0,0,0,0,0,0
Summoner (F),45,50,30,25,8,35,20,50,0,0,0,0,0,0,0,0
Rogue,50,10,45,35,5,20,40,25,0,0,0,0,0,0,0,0
Gorgon Egg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Knight,70,30,20,15,21,20,20,0,0,0,0,0,0,0,0,0
Great Knight (F),70,30,25,20,21,22,20,0,0,0,0,0,0,0,0,0
Recruit (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journeyman (3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pupil (3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recruit (3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manakete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manakete (F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journeyman (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pupil (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fighter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warrior,80,45,25,20,16,17,15,0,0,0,0,0,0,0,0,0
Brigand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berserker,75,50,35,25,10,13,15,0,0,0,0,0,0,0,0,0
Monk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recruit (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pegasus Knight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falcon Knight,60,30,30,30,12,30,30,30,0,0,0,0,0,0,0,0
Cleric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troubadour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valkyrie,45,35,25,45,10,40,40,35,0,0,0,0,0,0,0,0
Dancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soldier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Necromancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fleet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phantom,0,55,35,45,15,15,50,0,0,0,0,0,0,0,0,0
Revenant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entombed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonewalker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonewalker (Bow),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wight (Bow),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bael,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elder Bael,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauthe Doog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gwyllgi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarvos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maelduin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mogall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arch Mogall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgon Egg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gargoyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deathgoyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dracozombie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demon King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archer on Ballista,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Archer on Iron Ballista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
